text,label
what we all have in common is i_fp   i happen to be infp and my dad  s girlfriend who shares this problem is also infp,1
how to avoid negative thinking   negative thinking comes more easily than positive thinking     this is a general     httpurl,1
issues may lead to chronic pain in    httpurl,1
depression treatments   reports   incognito getting treatment at psychiatric center   httpurl   httpurl,1
i  ve got scars on my body and stories i  ll never tell,1
have you ever felt sad after,1
if i delete my tweet   nobody will ever notice,0
if i were truly bright i would n t have gotten so lost in this stupid game just now,1
lab work   normal   i just want an answer,1
trump   putin   scarborough   fox   brietbart   evangelicals   you   httpurl,0
rt    2071   biopic about leo gets snubbed at the    the curse is reborn   awoken from its long slumber,1
if you get your arm wet in the shower   dry it off with a towel still in the shower and then take a pair of wet   then dry scissors,1
wikileaks hints at plan to create ominous   big brother   database httpurl via,0
same sex women spend more time with  httpurl,1
rt    me   new friendships sound kinda nice brain   ok but consider this     isolation me   httpurl,0
i  m sitting in my school library on twitter when i  m suppose to be taking a quiz guess you can say i  m the baddest bitch around   sunglasses,1
you have it but you have yet to add a snap story     i  m disappointed in you guys,1
just wish she would stop using her illness as an excuse  confused_face,1
philippe trebaul is now following me on twitter   thank you philippe trebaul   say hello any     httpurl httpurl,0
twinnnzies  person_pouting   person_pouting,1
we will always support you paytforyourdreams yong httpurl,0
what  s a quick fix for cluster headaches besides oxygen   httpurl,1
check it out   httpurl,1
please do n t end it httpurl,1
dustin hanson is now following me on twitter   thank you dustin hanson   say hello anytime       httpurl httpurl,0
so that  s like     12 years of exhaustion and about 5 10 more years of therapy still to go   just thinking about it makes me need coffee,1
thanks for the input,0
hahahaha i  m not sleeping at all tonight   i have maths to revise for too  grinning_face_with_sweat,1
depression serious   needs treatment   pacific daily news   depression treatments   httpurl,1
i know   i work in retail   i know,1
the 1st lady  s mental health road map     httpurl,1
about  can undermine parents   httpurl,1
english words start with letter u,0
why the rush   relax   enjoy life   have alot of sex and make the most out of everything,1
scientists grow   mini human brains   from stem cells   depression treatments   httpurl,1
the best way to effectively treat and cope with your depression   catbook   httpurl,1
rt    it  s been the privilege of my life to serve as your president   i look forward to standing with you as a citizen   happy new year,0
thanks again   charles,0
rt    tell me this is n t true httpurl,0
aleph   hiroko   can we go to mcdonalds   hiroko   no   zayin made a nice dinner at home aleph   i hate this fucking family,0
this tea has 10 times more antioxidants than green tea via fox news   httpurl,1
i can t stress enough how mediocre i am music wise,1
us sends special forces to russian border as nato is poised to strike back against vladimir putin  s   aggression   httpurl djt,0
rt     white_medium_star  make isaiah thomas a starter in the all star game   retweet to cast your   white_medium_star  httpurl,0
using essential oils for depression treatment is among the many complementary approaches to treating depression na     httpurl,1
when i die   you do n t have to put a batu nisan   read   tombstone   on my grave   just stick a lightsaber in the ground and i  ll be happy,0
seth baker   d   o   httpurl,0
smelling like a distillery the day after at work has come to an end,1
could you direct message me   we are working on a story about last night  s shooting   our condolences about your friend jabri,1
im sorry i want to die,1
hates gays       httpurl,0
rt    credits to a twitter friend who sent this photo via dm gopayt dreamteamyong httpurl,0
thanks for my new pumping iron playlist spotify    httpurl,1
who do you love more   nicole or sickies,0
will do boss,1
me and fat fingers,0
lol   but country has changed so much over the years   what is called   country   today should n t be classified as country,1
chances are   if there  s symptoms of it   you could treat it earlier before it spirals into something uncontrollable   trust in modern medicine,0
i feel this way and every time i remember that i feel this way   it  s like i  m feeling it for the first time and it scares and hurts me,0
r u 4 real     do n t believe u   mr   scripted   calling you out sir   angie,1
oh my gdo goooooooodod,0
red_heart  zayn our baby    httpurl,0
resperate blood pressure lowering device httpurl,1
if i were to have gotten any christmas gifts   i would have wanted clothes   antidepressants   appetite suppressants and sleeping pills,0
you may be replaced all at once       httpurl,0
any one that votes to condemn obama is disloyal to us   any one that votes to condemn obama over russia is a traitor     httpurl,0
hey so why is the people album such garbage jw,0
they were so cute fuck,0
if he asked me back out within the next few days   i  d say yes a thousand times       penelope rose,1
it does,1
do you fancy a skype call to big d  for his 24 hour radio show for  httpurl,1
or   hang tengah busy ni   karang hang text   it led to a lot of confusion   also   very dumb and blonde,0
jesus may love you   but i think you  re garbage wrapped in skin     michael o donoghue,0
hey hoe   do you have snapchat,1
no performance enhancing drugs   just geritol,0
morning joe is outrageous     stupid and evil   but gets good ratings since he swayed some brietbart   fox     httpurl,0
rt    but the real question is   are they gonna use that trope were magnus is gonna teach alec how to play by standing behind h,0
northwoods pediatric center httpurl,0
man you blew it,0
fuck the police are coming round in like half an hour,0
100 questions   answers about migraine httpurl,1
congrats on your billboard awards boys   much deserved  red_heart   kiss_mark   red_heart   kiss_mark,1
yeah   especially when the other person does n t feel the same way,1
user   staysafe   vic   pty ltd httpurl,0
you can read the rest on your own,0
happy mother  s day,1
only yours,1
rt    what makes  so massively important is that it never pits betty and veronica against each other for archie,0
i  m so close to this fuckin goal    wait til i get back in school its game over,1
i  d do anything to be in this moment    smiling_face_with_heart eyes,0
hey dustin hanson thanks for the follow,0
rt    i  m going to nut  smiling_face_with_heart eyes   sweat_droplets  nurture him uplift him treat him with respect httpurl,0
it looks like it has a butt,1
plzz play  by zayn and taylor swift,0
one of my biggest pet peeves is ppl ignoring me smhhh,0
a dumb tweet made me mad   so now i  m even madder at myself for getting mad at dumb tweet and now i think i  m having a rage induced aneurysm,1
wow finally a witch show for me   ur local witch enthusiast       httpurl,0
have you ever heard anything crazy er     soften what   he always been soft in the head   go home and hide   j     httpurl,0
rt    singing in the rain is one of my absolute favorite movies   this scene always cheered me up no matter what i was feeling,0
change it back lucas,1
rt    i know we like to joke abt our misery here on twitter dotcom but all joking aside i hope 2017 is less hurtful and more peac,0
you lied again      when you said mexico will pay for the wall   just do the right thing and step dow     httpurl,0
i really did n t need shane west to happen to me in awtr to happen to me   i really did n t need this,0
user   seawalking httpurl,0
aw david  kissing_cat_face,1
same my nigga    face_with_tears_of_joy   face_with_tears_of_joy,1
i love you lady,1
when they look like they could roll over and die at any minute,0
yaay   grantchester    beaming_face_with_smiling_eyes     httpurl,1
rt    do n t start an argument with a girl because they all have 4305019 4 gb memories and will bring up something you did at 14,1
rt    a promise for 2017   be more like carrie fisher   be proud of who you are   every single part you and show that to the world,0
rt    sen   tim kaine   why is donald trump acting like russian president vladimir putin  s   defense lawyer     httpurl,0
you  d better hope no one finds those pictures on your computer,1
rt    video   in the 4th place for bellamy blake saturday     i do it everyday     httpurl,0
have you ever used your prescription  incorrectly,1
my current car jam is you  re probably   not   right by  so good,1
you too  two_hearts,1
i like living near power grids because everytime it rains   i can see all the lightnings,0
god you  re prettier  smiling_face_with_heart eyes,1
beat the blues program may help older african americans battle depression   depression treatments   httpurl,1
it  s that time          15,1
i had a tibs chocolate croissant today   but i do n t wanna lose that either   and thanks,1
why everyone tryna drop a street album rn   sheesh,1
rt    interested in performers     directors     producers   experiences in the uk adult film industry   voices largely missing from a,1
new md urgent care httpurl,0
by zayn and taylor,0
talk business   usetheseideastosurvivewithmelancholy   httpurl,1
awwwww   ok who is this   httpurl,0
rt    the voices of aladdin   princess jasmine singing   a whole new world   20   years later   iconic   httpurl,0
ending the depression cycle httpurl,1
go d vine is so dead im sad,0
user   carsonm httpurl,0
rt     wrong,1
oh god the way he licks his lips when he does n t know what else to say,1
a childless generation     depression treatments   httpurl,1
you have to change yourself   to see everyone else change   this reminds me of the language of substance use     httpurl,1
is     is that an albino sausage   httpurl,0
nah definitely can be   options are 3 4  8,0
talking is the best    httpurl,1
rt    oh just now i forgot my password but then twitter helped me thanks to twitter,0
rt    inside look at how bandai namco names tales of games httpurl,0
i want to start using youtube so much more but its a lot of effort  downcast_face_with_sweat,1
yhvh is a cool guy and a reliable friend,0
leslie stahl was   a pussy compared to rather     george h   w   bush,0
tina theroux   dmd httpurl,0
harry styles is god lol   well he looks like one anyway  grinning_face_with_big_eyes,1
pretty girls i really know this,0
cruel but funny,0
rt    i refuse to buy a pair of shoes i can t run away from someone in,1
the only person you can count on is yourself gopaytwin yong,0
user   waynescaulking httpurl,0
yknow after all these years i  ve still never seen an episode of that accursed show,1
no veg who loves animals would crave your pig bacon   plant based is the way to go and tastes just as good  lightlife,1
rt    if physical illnesses were treated like mental illnesses   httpurl,1
what   i dont know dude   im just assuming here,0
today is really my lucky day,1
how to protect your  from a pedophile   httpurl,1
my lrt that absolutely did n t sound like sprayberry but ok,0
there  s a lot of drama going on on twitter so goodnight,1
rt    happy new year to all   including to my many enemies and those who have fought me and lost so badly they just do n t kno,0
user   tradelinks 01 httpurl,0
rt    if male athletes were asked the same questions as female athletes httpurl httpurl,1
rt    i  m really talented at really weird things,1
omg     idk where amie is but   i know this girl isnt trying to get me to watch rogue one when   that   happens,0
somehow   i think the term   intelligence briefing   and  do n t belong in the same sentence,0
rt     heroic   bellamy is back stronger than ever,0
aleph glances at you while fighting off the enemies surrounding him,0
jury duty is fun,0
i will pray for your safety and success   be careful,0
so tiny,0
tell me something lovely to cure this tiredness    smiling_face_with_smiling_eyes,1
what am i doing awake at this hour,1
thank god my field of work does n t involve having to interact with other humans on a daily basis,0
rt    to overtime we go    and  tied 1 1   3   on   3 ot is next,1
philadelphia children  s hospital bans dietary supplements   depression treatments   httpurl,1
user   garage door repair redondo beach httpurl,0
but on my fuck shit i do n t even care cuz there  s always other options    you  re who i want but its cool fuck it does n t even matter,1
its an effing single player game,0
aleph furiously danced all around,0
only   the two,0
hey joe   is this where you ran your propaganda mill from in past months   looks capable       was this install     httpurl,0
rt    the teacher   the student kevin mchale and kg are the   zen masters   of the post      httpurl,0
i  m the guy who misses the layup  loudly_crying_face  httpurl,0
i would totally dm you if my teach was n t about to swallow my computer with her hands,1
no one understands me or how i feel,1
this is honestly the funnest thing ive ever done in my life httpurl,1
my gf got a bf n it ain t me     sheeeshhh,1
sales mate   want a credit card,0
i do n t understand this   what does it achieve      confused_face  palmyra  s baalshamin temple   blown up by is   httpurl,1
dyno drains dorset   somerset and wiltshire httpurl,0
please follow my daughter  she loves both you   your book   and has always stood by you  red_heart   red_heart,1
hey   i heard that   httpurl,0
either that or i need new glasses,0
the profile of a    httpurl,1
well   at least now they know the design is practical and portable,0
common symptoms of menopause and how to find relief   overcome depression   httpurl,1
wysi is now following me on twitter   thank you wysi   say hello anytime   i am a real person     httpurl httpurl,0
the integrative medicine puzzle   putting the pieces together via  today   httpurl,1
for you  httpurl,1
the bottom part looks like a calender though   dunno if it  s part of the production note or not,1
rt    music saved my life,1
rt    author  s note httpurl,1
why are you never on steam or skype,1
what do you do to get rid of a headache other than through medication   httpurl,1
rt    may your skin get clearer and your love reciprocated in 2017,0
third wife   proud are you   httpurl,0
are you sympathetic to russia       or loyal to america       shame i have to ask   can t tell     httpurl,0
back problems       i have a herniated disc diagnosed 2004   i was working this december and was injured     httpurl,1
user   asappartsunlimited httpurl,0
hanged man entered nirvana just by being touched by aleph,0
rt          and we wanna be the band for you   we wanna be here for you because we have shit going on as well       ashton,1
will he black mail or get black mailed   he is crazy       httpurl,0
the lina arcana is perfect as it is   dont  me,0
rt       ah gnon ba wearepayting foryong,0
calums face,1
congrats,1
bg financial mortgage services httpurl,0
rt    the new season of tales of zestiria the x is now available   and the opening alone is rad   httpurl,0
you just dont realized how much i tweet about you   gopayt dreamteamyong,0
no   you looked pretty,1
depression treatments   new hair loss treatment uses baby foreskins   httpurl,1
hi mom       t revor,1
god power is unlimited,0
i  m not saying i  m qualified to be judge   jury   executioner   but my opinion is that the justice system has failed the victim,1
i think my body holds well to sudden changes like this   the longest i  ve gone without sleep was 70 hours and it didnt kill me     obviously,0
rt    the amazing evelyn is organising this event to highlight the true consequences parents are seeing with the new     httpurl,1
pms just kicked in hard   because apparently i was n t exhausted enough,1
sharing     positivity on  httpurl,1
success is what happens when something goes right     arnold glasow,0
ok   so   there was this one time we were having breakfast   outside lah time orang ramai,0
overcome depression   daughter of nyc mayor elect de blasio details depression   past drug use   httpurl,1
no offense but date,0
good to know     note   use led light httpurl,1
the science of positive thinking   how to achieve results fast   what about positive thinking   does positive thi     httpurl,1
wally   artemis   literally why         badass sweethearts in love   just wanted to be domestic and happy    httpurl,0
overcome depressive disorders   the inexpensive care take action and precautionary health services   httpurl,1
can improve    httpurl,1
rt    i hope obama leaves a thousand legos scattered haphazardly around the white house for trump to step on,0
i love october   i love the scary movies and halloween   i love autumn    tangerine   ghost   skull   red_heart   red_heart   red_heart,1
great stuff in order to know   httpurl,1
httpurl annick goutal httpurl,0
rt    rt if your the son in this httpurl,0
merry christmas eve 2 me       httpurl,0
quick sketch httpurl,0
rt    when michelle start wearing less   going out more httpurl,1
i would love to   old fashioned dates are the best,1
still gotta drink something and brush teeth then i will,1
rt    safe to say i just had the best flight of my life   httpurl,0
completed on my house   got the keys   what a fab day   whoop    house_with_garden   party_popper   two_hearts,1
jackass 2 nuff said lmaooo,1
i do n t even know why,1
no one told me about this   yall fake as hell httpurl,0
im trying to stay in calums lane,1
who the fuck is jesus christ,0
rt    really      you think most people would look at a piece of  and a cricket   and eat the cricket   httpurl,1
rt      327 raised so far   thank you   we are just   173 pounds from our target so please retweet httpurl for,1
does it come in aerosol form   if not   this could be a million dollar idea,1
publish place   waystoovercomeyourdepression 1   httpurl,1
user   thekelvinpartnership httpurl,0
i would love it if my work just sent me out to take videos of dogs   httpurl,1
everyone obviously,1
aria was always my   5,0
do you think you or your child is  to the smart phone,1
5 minutes till  7 days til  ugh i  m not prepared for this,1
its like 55 degrees in san diego and i  m by the ocean with hella wind blowing smh  snowflake,0
you should just prioritize me ok,0
not fan on msnbc   what you said on msnbc about president obama tonight gained my respect   i love truth   i  m your new fan,0
hey tech smart boss thanks for the follow,0
when one sees a bear,1
cant   i  m impatient with assemblies,0
rt    very special    an air guitar promo   signed by all of    rt   follow to enter   winner on mon htt,1
it will never happen       httpurl,0
rt    lets all thank god malaysia is bloody hot then httpurl,0
this   absolutely this  purple_heart  httpurl,1
wow ok i cried this is fine httpurl,0
must see this,1
rt    starting young httpurl,1
i would have worn the black bralet with the strappies   but i thought i might be too boobalicious for work so green cami it is,1
i laughed way to hard at these   lol httpurl,1
f     k positive thinking   f     k positive thinking       if you think positively you will be able to turn it around     httpurl,1
talk business   depressionbattleinandwinyourlifeback   httpurl,1
rt    daily reminder that i love legends httpurl,0
people who spread hatred in every tweet every single day   what  s your secret   i need some of dat supplements   need to be more energetic,0
nasa tao lng yan    its not about the culture gopaytwin yong,0
rt      we have our ups   and we have our downs   especially   but that  s okay   we live in a weird fucking world these days,1
trump  s nazi followers are already openly targeting jews in montana httpurl,0
okay people i am strange just accept it,1
thankyou,0
dexters tower bridge estate agents httpurl,0
user   ufc 207ippv httpurl,0
sdd zayn com cabelo de marshmallow zayn for best video    httpurl,0
i like blowing up all of your twitter feeds with my obnoxious tweets    smiling_face_with_smiling_eyes,1
college minor in substance abuse    httpurl,1
social kill   alternatives for painless alternatives of depression treatment   httpurl,1
i miss my boy a will   we stayed clownin     face_with_tears_of_joy,1
rt    want higher self esteem   stop doing these 6 things   httpurl       m,1
rt    join us on  to end violence against  ers       all httpurl,1
awh   you  re no fun   goodnight you   xoxo,0
no no   its not smell   macam banyak crust   berkudis   kulit kering and stuff   kan,0
not having to get up in the morning for two whole weeks   bliss    smiling_face_with_smiling_eyes,1
slime   nothing else is appropriate       httpurl,0
you  ll never see all the places   or read all the books   but fortunately   they  re not all recommended,0
rt    i want y all to aspire for greater   httpurl,0
imagine carrying a baby for 8 months and they turn out to be a bellamy blake stan     you should ask abby griffin how it feels   agshshs         fh,0
it  s almost christmas eve here in louisiana     highs expected at a whopping 79 degrees   yay    d,1
rt    why does this look like fetus calum  loudly_crying_face  httpurl,1
asap parts unlimited httpurl,0
taking names   that  s so reminiscent of nazis   russians   joe mccarthy   mr cohen   etc     congressional committee     httpurl,0
i like it,1
my mind wo n t shut up and let me go to sleep   i wish i had some warm milk,0
rt       becomes the 6th  player w   multiple 1 000  yard seasons joining welker   5     gronkowski   moss   morgan   3,0
user   2017roseparade httpurl,0
it  s hard having a midwestern accent in the south   man,1
rt    literally me httpurl,1
hello it  s the year 2016 and t100 s2 finale still fucks me up so bad,0
nope   my dad s,0
i asked the question   do you understand the difference between nauseous and nausea       httpurl,1
rt    what is the actual definition of ugly are beauty   people use those words freely or hatefully quiet often,1
fully aware that they  re gone but still having mirage images of them in your head doing earthly things   how pretty,0
rt    catch  and  perform live tonight for  on nbc at 8  7c   you wo n t want to miss this   httpurl,1
do it for them httpurl,0
well jeal,1
could you please talk to me  smirking_face,1
this imposing presence     he is no ordinary opponent   be on your guard,0
i can t study for my last paper tomorrow   god the laziness is strong in this one,0
yeah earlier this week i was completely stopped up from one whiff of this one lady  s perfume   ah   retail,1
elsie is now following me on twitter   thank you elsie   say hello anytime   i am a real pers     httpurl httpurl,0
rt    this is why zendaya is so great httpurl,1
me   or maybe god is mad because my booty drawings arent good enough,0
i know   3,1
wall   what wall   we don t need no stinking wall,0
i still can t fall asleep,0
is this the next cabinet pick by drt   you could depend on jk to keep him from going c     httpurl,0
dyno heating newcastle httpurl,0
rt    the love triangle is unlike anything on tv because its plot never relies on the ridiculous   woman vs   woman   trope   it,0
but i have more,1
has anyone heard of botox injections providing relief to migraine sufferers   httpurl,1
payne windows and siding services httpurl,0
depression treatments   5 blood tests you  re probably not getting  but should be   httpurl   httpurl,1
rt    the love you gave away yong backtomanila,0
dildo crew,1
rt    paytforyourdreams yong httpurl,0
deprive a mirror of its silver   and even the czar wo n t see his face,0
ughhhh i was so mad,1
i legit do not know how to respond to that,1
rt    ahhahahahaha instagram comments have me dying httpurl,0
rt    wow    almost scores right as the pp expires,1
rt    none of yall dumb ass mother fuckers better drive drunk tonight   or ever   stay safe   keep these photos in ya mind   happy,0
conway accuses meryl streep of   inciting people  s worst instincts   httpurl,0
rt    i would pay a subscription every month to see content like this because you can not make this shit up httpurl,0
what is    httpurl,1
talk business   takealookatthisarticleondepressionthatoffersmanysuperbsuggestions   httpurl,1
depression treatments   intergrating siddha medicine in malaysian primary healthcare   httpurl,1
plz play ppp   by zayn and taylor,0
rt    clarke is making bellamy face his actions   i love her,0
user   henrylindalove httpurl,0
aww thankyou so much for the support,0
the devil finds work for idle circuits to do,0
rest in peace  httpurl,1
laura dunn phillips is now following me on twitter   thank you laura dunn phillips   say hel     httpurl httpurl,0
actually she did have a twin but i could n t get her   and fyi the puppy looooves her,1
you got me,0
goodnight  red_heart,0
whoa,1
could be,1
rt    it  s important to learn to laugh at ourselves   do n t take life too seriously     geri halliwell tuesyong tilltheend,0
if i take my friends shift today i  ll start a 9 day streak until my next break and i dont want to do it but i need the money god why,0
so cute,1
good song  ok_hand,1
rt    here  s a picture of michael shirtless to make up for whatever i tried doing just now   thanks    httpurl,1
rt    moves   httpurl,0
i actually can t sleep with the pain of my teeth lol,1
this is part one of a several part thing of a group  s journey across india   so far 3 parts are up and it  s amazing     httpurl,1
dryer vent cleaning santa rosa httpurl,0
that mj juice,1
my 45   some of us are previously disadvantaged in that department,0
i  ve had fun before   this is n t it,0
god i hope he cuts her hair   literally someone anyone cut her hair,0
i dare you to try,0
your hair is so cute,0
i stopped     then i just lost it   started again,1
user   adorimillennium httpurl,0
genuinely just with the intention of educating you   pls just understand that and apologize ok,0
cerulean advanced fitness and wellness httpurl,0
diam,0
rt    one week   we  re super excited    black_heart   curly_loop   clapping_hands     httpurl,0
what a man   and thank you for doing this for awareness for autism    winking_face,1
surprised no one has made a role play account for  or  beard xd,1
in our 2 piece suits and we  re lookin so cute     httpurl,0
how  s this for starters       httpurl,1
rt     white_medium_star  retweet to send isaiah thomas to the all star game     white_medium_star  httpurl,0
they still got higher ups   one of them has to change it   it  s literally school policy,0
see if putin  s friend pulls special forces back                httpurl,0
smh moved to the south the escape the snow   _,1
rt    james harden did n t get 50 15  15     he got 53 16  17   you can play 2k with the sliders all the way down and never do that,0
congratulations   i have no idea who you are but i  m really happy for you   it must feel great finally having proper boobs,1
speaking of boxes   can i tots be riak and showoff my birthday gift box with the crocheted puppets thingy   hewhew,0
rt    get involved w   this  on  users of   httpurl  httpurl,1
tbh you can never replace your laptop with an ipad so yeah   its more suited for people who like to draw   or else   membazir,0
trying to see if i can even get a ride but god     has,0
rt    30 minutes till the hey everybody   video,1
this may be the most boring work day ever,1
im scrmeaingng peter pan is one of my favorite fairytales and i loved the neverland arc wow im hyped,0
dad   what you should  ve told her is     throughout history   it is shown that smoking has been prominent irregardless of genders,0
user   hghdeal httpurl,0
the  are already begging for penalties   just play the game   pussies      httpurl,0
bully   playground is the best place for him       httpurl,0
i scrolled my feed and could n t find it again   look up el salvadorian murdered in street or some shit like that,1
are you going to go,1
rt    the longest fumble return in  history   httpurl,0
hey crissy   dunno if i said before but congratulations on getting into university,1
rt    i  m done trying to be someone who i obviously was n t meant to be,1
user   ufc 207live1 httpurl,0
syurga daddy   the ones that guide you to heaven   httpurl,0
we  re voting for  by  for  at the  httpurl,0
aionhill is now following me on twitter   thank you aionhill   say hello anytime   i am a rea     httpurl httpurl,0
nooooooooooooooooooooo   bill  s lost it,0
gutted for you   one of our after party acts is from iow too,1
i need help   ive been on percocet for about 5months     httpurl,1
thanks girl,1
for my own reasons,1
the face of boredom httpurl,1
user   mallika p httpurl,0
mood,0
rt    do n t get me started but i  m going to miss the obamas   the nicest family on earth,0
rt    he matches his drink and shirt everyday httpurl,0
yep   i always delete the threads once i  m done with it hehu,0
do you think that your habit is becoming an,1
rt    when the weight of the world is coming down on u but ur tryna make the best of it httpurl,0
followed closely by the studying scene where she shows him she  s using his system ok dont  me at all for any reaos n,0
i miss being happy too   where has he been though   that being happy dude,0
these  snake  are getting to me man,0
luke is me when my mom is yeling at me  httpurl,1
north point mechanical llc httpurl,0
watching the tweets between you and  is quite entertaining   talk about being unarmed in a battle of wits   lol,0
fake smile   i  m an expert doing that,1
lol i do the same shit   i  ll sell my yamaha to you if you want an electric one some time soon,1
101 tips for preventing headaches   learn to live better without the pain httpurl,1
second pic   i thought he was holding a lightsaber lol   that  s it   i need to see a doctor   need help   sakit teruk da     httpurl,0
user   anthienly httpurl,0
what  s your favorite video game genre     action rpg httpurl,1
sleep ain t messing with me tonight   it wants nothing to do with me   i  ll have to change it  s mind so i can get some rest,0
really now,0
rt     wow hugot na this    haha wearepayting foryong,0
i never used to care wat i whipped now i got aspirations for a nice one,1
rt    about to touch a sting ray     i should punch it though just to let it know steve irwin still got shooters out here   httpurl,0
rt      she raised me to be good   to be better   httpurl,0
my  therapist hurt me via body mind conspiracy   httpurl,1
bob davis   two sides in need of a settlement   anniston star   depression treatments   httpurl,1
ask dr g   depression treatments   httpurl,1
difficulty dealing with my boyfriend  s depression   httpurl,1
freak out whenever a 5sos song comes on,1
hope you  re ok     smiling_face_with_smiling_eyes,1
courage is your greatest present need,0
user   ruchirajput httpurl,0
skipped school to see 5sos on tv  face_with_tears_of_joy   face_with_tears_of_joy   face_with_tears_of_joy,1
where do you find this type of person   heard it was at the trump university   do n t they know it swindled thousands people   then closed,0
i love slapping my fresh ones and feeling it burrrrn  3,1
local seo citations httpurl,0
rt    my heart is melting so much right now httpurl,0
may the force be with you   always,0
i hope u find someone that mindlessly plays with your hands and lightly strokes your legs and massages your     httpurl,1
beescommunication no httpurl,0
me   i never noticed i had lesung pipit   this is a lesung pipit right   dad   lesung babi   for you   lesung babi,0
i just want a threesome scene with the police officer     yes yes   more past stories   yes   exactly   exactamundo,0
the friend  s list is still needed up   what do i do,1
thanks mate    winking_face,1
do you play with fire     not anymore but i helped blow up my friend  s swing set i     httpurl,1
backstreet s back alright,0
you had told them it was done by a 400 pound man in a bed   had to investigate   you know scales   et     httpurl,0
it seems so,1
mebbe   thanks for helping me to come up with that masterpiece,0
bring out the go pro on game day   yup  rabbit_face,1
ahahahhaah   that pickupline thoughh   10 10   thankyou,0
do you prefer working for parents that both work outside the home or with at least one stay at home parent       httpurl,1
lain   now this one lagi yellow   the one on the right orange sikit rasanya,0
had to check my dude  against his old team,1
oh my       httpurl,0
i find joy in watching the lovey dovey relationships fail,1
humble brag,0
rt    an ana cosplayer joined us for dinner  loudly_crying_face   folded_hands   sparkles   sparkles   sparkles  httpurl,0
lowery chiropractic httpurl,0
